Generation,PID,Epoch,Training Loss,Validation Loss,Best Loss(Generation),Accuracy,EarlyStop Count,Runtim
6,8,5,0.3250114,0.32497623,0.32493505,0.1135,   2/  3,3.84524608
6,8,6,0.32499114,0.32503306,0.32493505,0.1135,   3/  3,3.8441565
6,9,0,0.34669655,0.3249847,0.3249847,0.1135,   0/  3,3.92601633
6,9,1,0.3250571,0.32503025,0.3249847,0.101,   1/  3,3.94546223
6,9,2,0.32506014,0.32500555,0.3249847,0.1009,   2/  3,3.94308591
6,9,3,0.3250582,0.32503246,0.3249847,0.101,   3/  3,3.94499969
7,0,0,0.29564347,0.2625306,0.2625306,0.2869,   0/  3,3.90313292
7,0,1,0.26364675,0.25897359,0.25897359,0.3156,   0/  3,3.91797924
7,0,2,0.26164189,0.27060967,0.25897359,0.2904,   1/  3,3.93004489
7,0,3,0.25956225,0.25581767,0.25581767,0.3034,   1/  3,3.9157424
7,0,4,0.25836117,0.25450659,0.25450659,0.3186,   1/  3,3.92539501
7,0,5,0.25689593,0.25229893,0.25229893,0.3246,   1/  3,3.91897726
7,0,6,0.25601347,0.25358369,0.25229893,0.3239,   2/  3,3.92088604
7,0,7,0.25583352,0.25161762,0.25161762,0.3305,   2/  3,3.92570186
7,0,8,0.2552083,0.25072233,0.25072233,0.3305,   2/  3,3.93133879
7,0,9,0.25523844,0.25264744,0.25072233,0.3335,   3/  3,3.95722914
7,1,0,0.38843372,0.32503271,0.32503271,0.1135,   0/  3,3.92933488
7,1,1,0.32496262,0.32493546,0.32493546,0.1135,   0/  3,3.9576149
7,1,2,0.32494784,0.3249284,0.3249284,0.1135,   0/  3,3.94820666
7,1,3,0.32494648,0.32493194,0.3249284,0.1135,   1/  3,3.95946693
7,1,4,0.32495481,0.32493729,0.3249284,0.1135,   2/  3,3.95804095
7,1,5,0.32495635,0.32494417,0.3249284,0.1135,   3/  3,3.95872307
7,2,0,0.35485103,0.32320207,0.32320207,0.1135,   0/  3,3.85882235
7,2,1,0.31517489,0.29733377,0.29733377,0.2092,   0/  3,3.86569214
7,2,2,0.28926331,0.28453436,0.28453436,0.2038,   0/  3,3.87597275
7,2,3,0.28366483,0.28067053,0.28067053,0.2124,   0/  3,3.87372279
7,2,4,0.28257485,0.27955389,0.27955389,0.2093,   0/  3,3.86604404
7,2,5,0.28191269,0.2801927,0.27955389,0.2103,   1/  3,3.87629271
7,2,6,0.28183045,0.27942418,0.27942418,0.2085,   1/  3,3.87101865
7,2,7,0.28108267,0.27912865,0.27912865,0.213,   1/  3,3.87701678
7,2,8,0.28073268,0.27963905,0.27912865,0.2115,   2/  3,3.87800598
7,2,9,0.28062386,0.2781563,0.2781563,0.2099,   2/  3,3.89349008
7,2,10,0.2802014,0.28096932,0.2781563,0.2081,   3/  3,3.91836691
7,3,0,0.36945455,0.32499067,0.32499067,0.1135,   0/  3,3.87437677
7,3,1,0.32495552,0.32494138,0.32494138,0.1135,   0/  3,3.89076829
7,3,2,0.32495598,0.32491892,0.32491892,0.1135,   0/  3,3.89657068
7,3,3,0.32494957,0.32492053,0.32491892,0.1135,   1/  3,3.89681387
7,3,4,0.32495446,0.32490571,0.32490571,0.1135,   1/  3,3.90005708
7,3,5,0.3249455,0.32493248,0.32490571,0.1135,   2/  3,3.89893746
7,3,6,0.32496022,0.32491039,0.32490571,0.1135,   3/  3,3.89744329
7,4,0,0.36142732,0.3249494,0.3249494,0.1135,   0/  3,3.86991835
7,4,1,0.32499965,0.32496337,0.3249494,0.1135,   1/  3,3.89394116
7,4,2,0.32500849,0.32496211,0.3249494,0.1135,   2/  3,3.89629436
7,4,3,0.32500864,0.32497458,0.3249494,0.1135,   3/  3,3.89002538
7,5,0,0.33084455,0.27232563,0.27232563,0.2345,   0/  3,3.89764833
