Generation,PID, Epoch, Training Loss, Validation Loss,Best, Accuracy,EarlyStopCount,Runtime
2,0,1,0.20005861,0.18156526,0.18156526,0.5996,   0/  3,4.68068576
2,0,2,0.16684715,0.14971121,0.14971121,0.6984,   0/  3,4.68253064
2,0,3,0.14447306,0.14120535,0.14120535,0.7335,   0/  3,4.68371916
2,0,4,0.13617884,0.13559009,0.13559009,0.7459,   0/  3,4.68435907
2,0,5,0.13221571,0.13493427,0.13493427,0.7321,   0/  3,4.68866611
2,0,6,0.1301127,0.13142554,0.13142554,0.7393,   0/  3,4.68481541
2,0,7,0.12867406,0.13055163,0.13055163,0.7424,   0/  3,4.68787599
2,0,8,0.1269749,0.12954924,0.12954924,0.7515,   0/  3,4.69415855
2,0,9,0.12619995,0.13007106,0.12954924,0.7475,   1/  3,4.70156074
2,0,10,0.12533269,0.13881573,0.12954924,0.7344,   2/  3,4.70524406
2,0,11,0.12477356,0.13181646,0.12954924,0.7419,   3/  3,4.7153461
2,1,0,0.29596971,0.2438108,0.2438108,0.3656,   0/  3,5.32892609
2,1,1,0.23858502,0.23681504,0.23681504,0.3966,   0/  3,5.38825989
2,1,2,0.23258923,0.23283225,0.23283225,0.4362,   0/  3,5.39160562
2,1,3,0.22825055,0.2259922,0.2259922,0.4768,   0/  3,5.38919377
2,1,4,0.21729325,0.21389594,0.21389594,0.5197,   0/  3,5.38867497
2,1,5,0.20676911,0.20911796,0.20911796,0.4934,   0/  3,5.38789463
2,1,6,0.20318873,0.20362536,0.20362536,0.5312,   0/  3,5.40229988
2,1,7,0.20189941,0.20713174,0.20362536,0.5266,   1/  3,5.41013551
2,1,8,0.20034974,0.20370414,0.20362536,0.5018,   2/  3,5.4549253
2,1,9,0.19718063,0.19889674,0.19889674,0.5245,   2/  3,5.52377582
2,1,10,0.19501326,0.19905577,0.19889674,0.5227,   3/  3,5.55639434
2,2,0,0.3503341,0.32496394,0.32496394,0.1135,   0/  3,4.19541311
2,2,1,0.32501159,0.32498812,0.32496394,0.1135,   1/  3,4.21345973
2,2,2,0.32501565,0.32493598,0.32493598,0.1135,   1/  3,4.21461487
2,2,3,0.32499826,0.32494595,0.32493598,0.1135,   2/  3,4.21373343
